Altium Designer Pick and Place Locations
C:\Altium 365\BC2077\KingTop_Output_Files\Assembly Outputs\Pick Place\Pick Place for BC2087(Production_MX).csv

========================================================================================================================
File Design Information:

Date:       08/06/23
Time:       11:34
Revision:   f90e7a7f3cb4bc0c45b14c1af4aaf3fdd92358ce
Variant:    Production_MX
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Rotation","Layer","Manufacturer Part Number 1","Footprint","Footprint Description","Description","Comment"
"C81","165.8301mm","18.0479mm","180","TopLayer","GRM188R61A106ME69D","CAPC0603(1608)100_L","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC High Density","CAP CER 10UF 10V X5R 0603 20%","GRM188R61A106ME69D"
"C82","151.0273mm","18.0479mm","0","TopLayer","GRM155R71A104JA01D","CAPC0402(1005)70_L","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC High Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C83","150.6773mm","17.0556mm","0","TopLayer","GRM188R61A106ME69D","CAPC0603(1608)100_L","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC High Density","CAP CER 10UF 10V X5R 0603 20%","GRM188R61A106ME69D"
"C84","1.1605mm","20.0556mm","0","TopLayer","GRM155R71A104JA01D","CAPC0402(1005)70_L","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC High Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C85","0.8105mm","19.0556mm","0","TopLayer","GRM188R61A106ME69D","CAPC0603(1608)100_L","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC High Density","CAP CER 10UF 10V X5R 0603 20%","GRM188R61A106ME69D"
"C86","15.5500mm","19.0556mm","180","TopLayer","GRM155R71A104JA01D","CAPC0402(1005)70_L","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC High Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C87","15.9031mm","18.0479mm","180","TopLayer","GRM188R61A106ME69D","CAPC0603(1608)100_L","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC High Density","CAP CER 10UF 10V X5R 0603 20%","GRM188R61A106ME69D"
"C88","1.1605mm","18.0479mm","0","TopLayer","GRM155R71A104JA01D","CAPC0402(1005)70_L","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC High Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C89","0.8105mm","17.0556mm","0","TopLayer","GRM188R61A106ME69D","CAPC0603(1608)100_L","Chip Capacitor, Body 1.6x0.8mm, Height 1.0mm, IPC High Density","CAP CER 10UF 10V X5R 0603 20%","GRM188R61A106ME69D"
"C97","102.0547mm","24.3000mm","180","BottomLayer","GRM033R61A104KE15D","CAPC0201(0603)33_L","Chip Capacitor, Body 0.6x0.3mm, Height 0.33mm, IPC High Density","CAP CER 0.1UF 10V X5R 0201 10%","GRM033R61A104KE15D"
"C120","-4.3000mm","33.1440mm","270","TopLayer","GRM155R71A104JA01D","CAPC0402(1005)70_L","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC High Density","CAP CER 0.1UF 10V X7R 0402 5%","GRM155R71A104JA01D"
"C207","119.5000mm","18.5874mm","90","TopLayer","GRM155R60J106ME15D","CAPC0402(1005)70_N","Chip Capacitor, Body 1.0x0.5mm, Height 0.7mm, IPC Medium Density","CAP CER 10UF 6.3V X5R 0402 20%","GRM155R60J106ME15D"
"C208","104.3210mm","20.4520mm","180","BottomLayer","GRM033R61A104KE15D","CAPC0201(0603)33_L","Chip Capacitor, Body 0.6x0.3mm, Height 0.33mm, IPC High Density","CAP CER 0.1UF 10V X5R 0201 10%","GRM033R61A104KE15D"
"C209","104.3210mm","21.0520mm","180","BottomLayer","GRM033R61A104KE15D","CAPC0201(0603)33_L","Chip Capacitor, Body 0.6x0.3mm, Height 0.33mm, IPC High Density","CAP CER 0.1UF 10V X5R 0201 10%","GRM033R61A104KE15D"
"C211","104.3410mm","22.4570mm","180","BottomLayer","GRM033R61A104KE15D","CAPC0201(0603)33_L","Chip Capacitor, Body 0.6x0.3mm, Height 0.33mm, IPC High Density","CAP CER 0.1UF 10V X5R 0201 10%","GRM033R61A104KE15D"
"C212","104.3510mm","23.1000mm","180","BottomLayer","GRM033R61A104KE15D","CAPC0201(0603)33_L","Chip Capacitor, Body 0.6x0.3mm, Height 0.33mm, IPC High Density","CAP CER 0.1UF 10V X5R 0201 10%","GRM033R61A104KE15D"
"D1","80.0591mm","33.7000mm","270","TopLayer","CD-HD01","CD-H01","","CD-HD0x Series Schottky Bridge Rectifier Diode 100V 4-Pin Surface Mount T/R","CD-HD01"
"D2","113.3891mm","29.4750mm","0","BottomLayer","1N4148W-7-F","1N4148W-7-F","SOD123, 2-Leads, Body 2.7x1.55mm, Height 1.45mm","DIODE GEN PURP 100V 300MA SOD123","1N4148W-7-F"
"D3","42.1000mm","16.7000mm","270","TopLayer","SML-D12D8WT86","SML_D1xx8W","Rohm LED SML_D1 series - Chip Diode, 2-Leads, Body 1.60x0.80mm, IPC High Density","LED ORANGE DIFFUSED 0603 SMD Orange 605nm LED Indication - Discrete 2.2V 0603 (1608 Metric)","SML-D12D8WT86"
"D4","114.8891mm","34.0000mm","180","BottomLayer","RS1B","RS1B","Molded Diode, 2-Leads, Body 4.30x2.59mm, IPC Medium Density","DIODE GEN PURP 100V 1A SMA","1N4148W-7-F"
